Language, "Original"

STR_pkp_pul_name,"PKP"
STR_pkp_pe4_m_desc,"Caliber: 7.62x54<br/> Distance: 900<br/> Modes: auto<br/> Rate of fire: 650<br/> Mags: Box with tape 100\200 bullets"

STR_pkp_b_name,"PKP-B"
STR_pkp_pe4_bp_desc,"Caliber: 7.62x54<br/> Distance: 600<br/> Modes: auto<br/> Rate of fire: 650<br/> Mags: Box with tape 100\200 bullets"

STR_pkm_pul_name,"PKM"
STR_pkm_l_name,"PKMN"

STR_p_aps_plus_shit_name,"APS + Shiels"
STR_p_aps_plus_shit_desc,"Caliber: 9x18<br/> Distance: 150<br/> Modes: 1\auto<br/> Rate of fire: 700<br/> Mags: spec.mag 85 bullets"

STR_ks23_dr_name,"KS-23"
STR_ks23_dr_desc,"Caliber: 23x75 R mm<br/> Distance: ~100<br/> Modes: Pump action<br/> Rate of fire: 72<br/> Mags: 3 shells 23mm"

STR_val_name,"AS Val"
STR_val_desc,"Caliber: 9x39<br/> Distance: 400<br/> Modes: 1\auto<br/> Rate of fire: 700<br/> Mags: VSS\Val mags on 10|20|30 bullets"
STR_val_w_name,"AS Val(w)"

STR_vss_w_name,"VSS(w)"
STR_vss_w_desc,"Caliber: 9x39<br/> Distance: 500<br/> Modes: 1\auto<br/> Rate of fire: 700<br/> Mags: VSS\Val mags on 10|20 bullets"
STR_STR_vss__name,"VSS"

STR_to34_name,"TOZ-34"
