Калибр: <br/ >Дальность: <br/ >Режимы: <br/ >Темп стрельбы: <br/ >Магазины: 
Caliber: <br/> Distance: <br/> Modes: <br/> Rate of fire: <br/> Mags:
///////////////
Language, "Original", "Russian"

STR_osv_name,"OSV-96","ОСВ-96"
STR_osv_desc,"Caliber: 12.7x108 mm<br/> Distance: 1600<br/> Modes: 1<br/> Rate of fire: 500<br/> Mags: 12.7 OSV-96","Калибр: 12.7х108 мм<br/ >Дальность: 1600<br/ >Режимы: 1<br/ >Темп стрельбы: 500<br/ >Магазины: 12.7 ОСВ-96"

STR_sksm_name,"SKS (modern)(dvtl)","СКС (современный)(лх)"
STR_sksm_desc,"Caliber: 7.62x39 mm<br/> Distance: 500<br/> Modes: 1<br/> Rate of fire: 600<br/> Mags: 20rounds mag SKS","Калибр: 7.62х39 мм<br/ >Дальность: 500<br/ >Режимы: 1<br/ >Темп стрельбы: 600<br/ >Магазины: 20зарядный маг. СКС"
STR_sksmp_name,"SKS (modern)(w)","СКС (современный)(w)"

STR_sksmpgp_name,"SKS(GP-30)(modern)(w)","СКС(ГП-30)(современный)(w)"
STR_sksmgp_desc,"Caliber: 7.62x39 mm<br/> Distance: 500<br/> Modes: 1<br/> Rate of fire: 600<br/> Mags: 20rounds mag SKS<br/> GL: GP-30M<br/> Distance: 400<br/> Mags: 40mm HE, smoke","Калибр: 7.62х39 мм<br/ >Дальность: 500<br/ >Режимы: 1<br/ >Темп стрельбы: 600<br/ >Магазины: 20зарядный маг. СКС<br/ >ПГ: ГП-30М<br/ >Дальность: 400<br/ >Магазины: 40мм Оск-фуг, дым"

STR_a545_name,"A-545","А-545"
STR_a545_desc,"Caliber: 5.45x39<br/> Distance: 750<br/> Modes: 1\2\auto<br/> Rate of fire: 900<br/> Mags: 5.45x39","Калибр: 5.45х39<br/ >Дальность: 750<br/ >Режимы: 1/2/авто<br/ >Темп стрельбы: 900<br/ >Магазины:5.45х39"

STR_a545gl_name,"A-545(GP-30M)","А-545(ГП-30M)"
STR_a545gl_desc,"Caliber: 5.45x39<br/> Distance: 750<br/> Modes: 1\2\auto<br/> Rate of fire: 900<br/> Mags: 5.45x39<br/> GL: GP-30M<br/> Distance: 400<br/> Mags: 40mm HE, smoke","Калибр: 5.45х39<br/ >Дальность: 750<br/ >Режимы: 1/2/авто<br/ >Темп стрельбы: 900<br/ >Магазины:5.45х39<br/ >ПГ: ГП-30М<br/ >Дальность: 400<br/ >Магазины: 40мм Оск-фуг, дым"

STR_skso_name,"SKS","СКС"
STR_skso_desc,"Caliber: 7.62x39 mm<br/> Distance: 400<br/> Modes: 1<br/> Rate of fire: 600<br/> Mags: 10 round clip","Калибр: 7.62х39 мм<br/ >Дальность: 400<br/ >Режимы: 1<br/ >Темп стрельбы: 600<br/ >Магазины: 10зарядная обойма СКС"

STR_ij43_obr_name,"IZH-43(sawedoff)","ИЖ-43(обрез)"
STR_ij43_obr_desc,"Caliber: 12 mm<br/> Distance: 100<br/> Mags: 2 bullets .12","Калибр: 12 мм<br/ >Дальность: 100<br/ >Магазины: 2 патрона 12 калибра"

STR_ij43_l_name,"IZH-43","ИЖ-43"
STR_ij43_l_desc,"Caliber: 12 mm<br/> Distance: 150<br/> Mags: 2 bullets .12","Калибр: 12 мм<br/ >Дальность: 150<br/ >Магазины: 2 патрона 12 калибра"

STR_svdb_name,"SVD(dvtl)","СВД(лх)"
STR_svdb_desc,"Caliber: 7.62x54 mm<br/> Distance: 800<br/> Modes: 1<br/> Rate of fire: 500<br/> Mags: 10/20 rounds mag svd ","Калибр: 7.62х54 мм<br/ >Дальность: 800<br/ >Режимы: 1<br/ >Темп стрельбы: 500<br/ >Магазины: 10/20зарядный маг. свд"
STR_svdbp_desc,"SVD(w)","СВД(w)"

STR_svdk_name,"SVDK(dvtl)","СВДК(лх)"
STR_svdk_desc,"Caliber: 9.3x64 mm<br/> Distance: 800<br/> Modes: 1<br/> Rate of fire: 500<br/> Mags: 10 rounds mag svdk ","Калибр: 9.3х64 мм<br/ >Дальность: 800<br/ >Режимы: 1<br/ >Темп стрельбы: 500<br/ >Магазины: 10зарядный маг. свдк"
STR_svdkw_name,"SVDK(w)","СВДК(w)"

STR_a762_name,"A-762","А-762"
STR_a762_desc,"Caliber: 7.62x39<br/> Distance: 750<br/> Modes: 1\2\auto<br/> Rate of fire: 900<br/> Mags: 7.62x39","Калибр: 7.62х39<br/ >Дальность: 750<br/ >Режимы: 1/2/авто<br/ >Темп стрельбы: 900<br/ >Магазины:7.62х39"

STR_a762gl_name,"A-762(GP-30M)","А-762(ГП-30M)"
STR_a762gl_desc,"Caliber: 7.62x39<br/> Distance: 750<br/> Modes: 1\2\auto<br/> Rate of fire: 900<br/> Mags: 7.62x39<br/> GL: GP-30M<br/> Distance: 400<br/> Mags: 40mm HE, smoke","Калибр: 7.62х39<br/ >Дальность: 750<br/ >Режимы: 1/2/авто<br/ >Темп стрельбы: 900<br/ >Магазины:7.62х39<br/ >ПГ: ГП-30М<br/ >Дальность: 400<br/ >Магазины: 40мм Оск-фуг, дым"

STR_tigr_name,"Tigr mod 05","Тигр исп 05"
STR_tigr_desc,"Caliber: 7.62x54 mm<br/> Distance: 400<br/> Modes: 1<br/> Rate of fire: 500<br/> Mags: 10 rounds mag svd ","Калибр: 7.62х54 мм<br/ >Дальность: 400<br/ >Режимы: 1<br/ >Темп стрельбы: 500<br/ >Магазины: 10зарядный маг. свд"
